content_hash,image_path,dataset,source,generator,label,condition_key,condition_name,logit,base_logit,raw_pred,pred,base_pred,prediction,base_prediction,correct,base_correct,gate_helped,gate_hurt,confidence,semantic_pred,forensic_pred,branch_disagreement,semantic_weight,forensic_weight,predicted_corruption,predicted_severity,attention_entropy,max_tile_attention,reliability,wrong_confidence
4a0d599c81f3ac346ac9c66b6d89ecc8256cd79870e26fb18d10e94520024d91,/home/users/nus/e1516774/Techjam/data/processed/sid_set/validation/full_synthetic/full_synthetic_003725_4a0d599c81f3.png,sid_set,sid_set,flux,1,full_laundering,Full Laundering,-25.76129913330078,-3.824690580368042,6.486493200202892e-12,0.0026473852340132,0.29304641485214233,0,0,False,False,False,False,0.9973526147659868,1.3479844795938334e-08,0.7642213106155396,0.7642212971356948,0.9754796624183655,0.024520304054021835,noise,0.7001070380210876,0.9653781056404114,0.2769644856452942,1.4663359995321991e-06,0.9973526147659868
b30819d2b3a495d520cd660f3de6f0df79745fbca238bbd3603534d01f759585,/home/users/nus/e1516774/Techjam/data/processed/sid_set/validation/full_synthetic/full_synthetic_000594_b30819d2b3a4.png,sid_set,sid_set,flux,1,noise_recompress,Noise + JPEG,-23.937862396240234,-5.955107688903809,4.017153623636638e-11,0.0040230415761470795,0.20243221521377563,0,0,False,False,False,False,0.9959769584238529,8.727712383915787e-07,0.003857610747218132,0.0038567379759797404,0.5036123991012573,0.4963876008987427,jpeg,0.4809955656528473,0.9908533096313477,0.2042827159166336,0.001475728744590308,0.9959769584238529
bb3709341771dc7b440d19f186e2f673963545566f78d7aef4698838abfb11db,/home/users/nus/e1516774/Techjam/data/processed/sid_set/validation/full_synthetic/full_synthetic_004826_bb3709341771.png,sid_set,sid_set,flux,1,noise_recompress,Noise + JPEG,-20.898380279541016,-4.801578998565674,8.393609696177862e-10,0.008067220449447632,0.2486991435289383,0,0,False,False,False,False,0.9919327795505524,0.00016045414668042213,0.00415785051882267,0.003997396372142248,0.5044329166412354,0.49556708335876465,noise,0.5601683855056763,0.9898993372917175,0.21062035858631134,1.080271957304729e-10,0.9919327795505524
bb3709341771dc7b440d19f186e2f673963545566f78d7aef4698838abfb11db,/home/users/nus/e1516774/Techjam/data/processed/sid_set/validation/full_synthetic/full_synthetic_004826_bb3709341771.png,sid_set,sid_set,flux,1,repost_extreme,Extreme Repost,-19.898754119873047,-1.524314045906067,2.280766908668852e-09,0.01013390813022852,0.4131465256214142,0,0,False,False,False,False,0.9898660918697715,8.818095921014901e-06,0.9833659529685974,0.9833571348726764,0.9993864297866821,0.0006135879666544497,resize,0.8083782196044922,0.9887859225273132,0.2028978019952774,1.080271957304729e-10,0.9898660918697715
4a0d599c81f3ac346ac9c66b6d89ecc8256cd79870e26fb18d10e94520024d91,/home/users/nus/e1516774/Techjam/data/processed/sid_set/validation/full_synthetic/full_synthetic_003725_4a0d599c81f3.png,sid_set,sid_set,flux,1,repost_aggressive,Aggressive Repost,-17.497005462646484,-2.0962741374969482,2.5185299179497633e-08,0.01748657040297985,0.38162267208099365,0,0,False,False,False,False,0.9825134295970201,8.10979981906712e-05,0.39371395111083984,0.3936328531126492,0.7104913592338562,0.2895086705684662,noise,0.6711116433143616,0.9572926163673401,0.32434341311454773,1.4663359995321991e-06,0.9825134295970201
bfed95def4dd889e3a4a518878718a6384d93ad29023886254083e24fc0b6acd,/home/users/nus/e1516774/Techjam/data/processed/sid_set/validation/full_synthetic/full_synthetic_005796_bfed95def4dd.png,sid_set,sid_set,flux,1,full_laundering,Full Laundering,-17.216201782226562,-1.6208479404449463,3.3350204375892645e-08,0.018632758408784866,0.4077680706977844,0,0,False,False,False,False,0.9813672415912151,4.795080258190865e-06,0.9693636298179626,0.9693588347377045,0.9981536269187927,0.0018463940359652042,jpeg,0.587299108505249,0.9673595428466797,0.21335425972938538,0.8781775612163424,0.9813672415912151
7707e8284d305f6ab1a8ed9522df6feacd52e21898355fb5515796ea476d26ea,/home/users/nus/e1516774/Techjam/data/processed/sid_set/validation/full_synthetic/full_synthetic_001556_7707e8284d30.png,sid_set,sid_set,flux,1,noise_recompress,Noise + JPEG,-16.684432983398438,-3.3652946949005127,5.676005443433496e-08,0.021008705720305443,0.31542909145355225,0,0,False,False,False,False,0.9789912942796946,0.0009602944483049214,0.008783400058746338,0.007823105610441417,0.5077810287475586,0.492218941450119,noise,0.6201642155647278,0.9833044409751892,0.21770425140857697,0.0010093694713012933,0.9789912942796946
6a39d729d9fe191cca4741f961abb5662bf93e172f75fde310588c0d87374053,/home/users/nus/e1516774/Techjam/data/processed/sid_set/validation/full_synthetic/full_synthetic_009764_6a39d729d9fe.png,sid_set,sid_set,flux,1,noise_recompress,Noise + JPEG,-15.383193969726562,-3.9728810787200928,2.085276520347179e-07,0.028141196817159653,0.28602784872055054,0,0,False,False,False,False,0.9718588031828403,0.0029602255672216415,0.005838062148541212,0.0028778365813195705,0.5050063133239746,0.49499374628067017,jpeg,0.5525079369544983,0.9910168051719666,0.22378161549568176,0.009627346955226854,0.9718588031828403
3d6a301d291d343f2286ed8df19f57c8ea8b3eadbd46462e33342889eb142d71,/home/users/nus/e1516774/Techjam/data/processed/sid_set/validation/full_synthetic/full_synthetic_000200_3d6a301d291d.png,sid_set,sid_set,flux,1,noise_recompress,Noise + JPEG,-15.2465238571167,-3.7853996753692627,2.39066480389738e-07,0.029014727100729942,0.29492416977882385,0,0,False,False,False,False,0.9709852728992701,0.00012733593757729977,0.027391081675887108,0.027263745738309808,0.5224947929382324,0.47750523686408997,jpeg,0.6220354437828064,0.9897258877754211,0.22182218730449677,0.008914628207085782,0.9709852728992701
9fbbf16717e873f9876b2acdf5a249896135b1dc4c4e64eeb2aba5d6e8f9d815,/home/users/nus/e1516774/Techjam/data/processed/sid_set/validation/full_synthetic/full_synthetic_000641_9fbbf16717e8.png,sid_set,sid_set,flux,1,noise_recompress,Noise + JPEG,-14.96923828125,-2.867480516433716,3.1545852152703446e-07,0.030868535861372948,0.3406864404678345,0,0,False,False,False,False,0.969131464138627,0.09058481454849243,0.0026064806152135134,0.08797833393327892,0.5016206502914429,0.4983793795108795,noise,0.5498409867286682,0.9935886859893799,0.19781829416751862,0.8089292691062451,0.969131464138627
