content_hash,image_path,dataset,source,generator,label,condition_key,condition_name,logit,base_logit,raw_pred,pred,base_pred,prediction,base_prediction,correct,base_correct,gate_helped,gate_hurt,confidence,semantic_pred,forensic_pred,branch_disagreement,semantic_weight,forensic_weight,predicted_corruption,predicted_severity,attention_entropy,max_tile_attention,reliability
5c062002a2f5bdeefab666278e2e36cc9913697e326e092af4bcf7a0670c05fc,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/REAL/0833.jpg,cifake,cifake,unknown,0,clean,Clean,-14.43899154663086,-4.898352146148682,5.360748218663502e-07,0.0347377173602581,0.2445591539144516,0,0,True,True,False,False,0.9652622826397419,6.109588834846136e-09,0.9945100545883179,0.994510048478729,0.9993143081665039,0.0006857109256088734,jpeg,0.6374602317810059,0.0,1.0,0.7274118465682511
2e24fd86be3dc4c20f3ded5bc88c38fa7917b3770bd6c6f45929dad5c638ec12,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/REAL/0507 (6).jpg,cifake,cifake,unknown,0,clean,Clean,-14.497039794921875,-5.172723293304443,5.058425927018106e-07,0.03429233655333519,0.23307690024375916,0,0,True,True,False,False,0.9657076634466648,2.419919542528959e-10,0.9901371002197266,0.9901370999777346,0.9991436004638672,0.0008563949959352612,jpeg,0.42793989181518555,0.0,1.0,0.8074928536148114
758b4f8f9b5d72b402af327e54f87f8267cbe4985b0c4a0c0cb62ad6b688a940,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/194 (2).jpg,cifake,cifake,unknown,1,clean,Clean,-9.583341598510742,-1.5891573429107666,6.88616928528063e-05,0.09916277974843979,0.4095313847064972,0,0,False,False,False,False,0.9008372202515602,1.5184942640189547e-05,0.9898111820220947,0.9897959970794545,0.9957220554351807,0.004277901723980904,jpeg,0.38587450981140137,0.0,1.0,2.641863045032623e-11
7718d52eb7cdd94289e3d697d16ce26711c829b51ecdda744a882f6c3ae1649a,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/210.jpg,cifake,cifake,unknown,1,clean,Clean,-2.181868076324463,1.4664031267166138,0.10139060020446777,0.37698280811309814,0.5836169123649597,0,1,False,True,False,True,0.6230171918869019,0.0071235462091863155,0.9945294260978699,0.9874058798886836,0.9603861570358276,0.03961386904120445,jpeg,0.5240168571472168,0.0,1.0,3.658992391510541e-16
e86dcd0d5d243992970ce62e2f598be862fa83847307c5726c8a4da48475dccc,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/REAL/0125 (6).jpg,cifake,cifake,unknown,0,clean,Clean,-15.71741008758545,-6.014153480529785,1.4928475877695746e-07,0.026111293584108353,0.20024606585502625,0,0,True,True,False,False,0.9738887064158916,3.5627771566293376e-11,0.9858258366584778,0.9858258366228501,0.9985274076461792,0.0014725147048011422,jpeg,0.29968538880348206,0.0,1.0,0.4251664647977429
37801d19e40222dc33f9c752d78071600875866160981c22efb9be7259ee5ae7,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/REAL/0913.jpg,cifake,cifake,unknown,0,clean,Clean,-5.669406414031982,0.33309057354927063,0.0034380515571683645,0.21326109766960144,0.5191640853881836,0,1,True,False,True,False,0.7867389023303986,0.002476162277162075,0.9853782653808594,0.9829021031036973,0.9938124418258667,0.0061875456012785435,jpeg,0.2627757787704468,0.0,1.0,0.016700467948410222
11e967c25dbe8aadb4284f867cc705f6d78359196719c0d5b69bfa40b42de718,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/REAL/0185.jpg,cifake,cifake,unknown,0,clean,Clean,-13.77033805847168,-4.763329982757568,1.0462072168593295e-06,0.040286578238010406,0.2503483295440674,0,0,True,True,False,False,0.9597134217619896,1.2925121417595165e-08,0.9824956655502319,0.9824956526251105,0.9987119436264038,0.0012880677822977304,jpeg,0.5977702736854553,0.0,1.0,0.7949367864561202
28362facc5c9617f98f1c06716f8eb72c0aae593de01753de21bd319be731cdd,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/291 (10).jpg,cifake,cifake,unknown,1,clean,Clean,-0.16755545139312744,0.7107121348381042,0.4582088887691498,0.49035632610321045,0.5408192276954651,0,1,False,True,False,True,0.5096436738967896,0.0013399738818407059,0.9833736419677734,0.9820336680859327,0.5154405832290649,0.48455941677093506,crop,0.6631249785423279,0.0,1.0,1.0819153869947786e-14
fbedf6cd306e1335c977257d1d46e7d3937835fbfc1c8dfac51fc2e12bc6beed,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/274 (3).jpg,cifake,cifake,unknown,1,clean,Clean,-8.099897384643555,-1.2261148691177368,0.0003034781548194587,0.13412143290042877,0.4298868775367737,0,0,False,False,False,False,0.8658785670995712,5.584880909736967e-06,0.9814846515655518,0.981479066684642,0.9924681782722473,0.007531812414526939,jpeg,0.3793991208076477,0.0,1.0,1.5591091071605014e-05
22016ee9a8248b088fa433877dc66c9ad95597fe75112a71d21f63b3f875c4b6,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/REAL/0803.jpg,cifake,cifake,unknown,0,clean,Clean,-16.552974700927734,-6.802149772644043,6.473429436937295e-08,0.0216403529047966,0.1727597713470459,0,0,True,True,False,False,0.9783596470952034,1.3911360952079121e-10,0.9787863492965698,0.9787863491574562,0.9986114501953125,0.0013885201187804341,jpeg,0.622205913066864,0.0,1.0,0.7818064640140484
