confidence,mean_probe_confidence,probe_std,probe_max_shift,probe_flip_rate,branch_disagreement,gate_entropy,predicted_severity,attention_entropy,content_hash,robust_correct,reliability
0.9999986194495204,0.9999988477566727,8.171862585944611e-07,1.282635883113402e-06,0.0,0.6029967069625851,0.5921580619288919,0.6310219764709473,0.9882403612136841,0002f82d9177636f389df1584f7035db15f9bc44de36955350f85073997acad5,1,0.9893340178776204
0.9960260389409039,0.9949739701169555,0.0012867468064098196,0.0032704542686425864,0.0,0.07179141044616699,0.9956392856096148,0.6179620623588562,0.9774964451789856,00372e5735ad71d52e5062c1058eff5dd9219986b0ffbc85147c5d0220fe1be4,1,0.996485669740105
0.9971854781421049,0.9967900040571606,0.00043925122925078577,0.0013647657944021452,0.0,0.01255035400390625,0.999965705478113,0.6693196296691895,0.9820286631584167,0043d87fedc6caa5660c48979a9b98c1363bf6c5fbab280810759e328081d6d5,1,0.9967684845007092
0.9965525880523713,0.9939399441316336,0.0037197021760512366,0.010786023324162342,0.0,0.007530629634857178,0.9999919519011367,0.9757300615310669,0.0,00527aaaf91fae16b79ca298ede32355ce3d31b270ab0278914686a8994c19eb,1,0.9930054230222494
0.9925765181570525,0.9849839926754089,0.013911601721831736,0.04073329469183597,0.0,0.1856663376092787,0.9752763708621003,0.4478064477443695,0.0,0052f9e160a12dfe44d91f78ad9bb8a27e9081fc9a42a623b9643407886936b5,1,0.9904193890815735
0.9963155824501904,0.9804818740506098,0.025551041041675767,0.07121780433609093,0.0,0.023014724254608154,0.999706538580319,0.9700137376785278,0.0,00713eb0eb72e3b702739d5b508c33bd1231094d81f4f5a8419ea8f850d1209b,1,0.9878151426029624
0.9963551194006056,0.9937883156616076,0.004114977540773701,0.012244094441186903,0.0,0.06623280048370361,0.9963529180817405,0.6722661256790161,0.9371047616004944,008147ef95e0725e6e21b8ae147b15af1837e87e39a7e2a1ad8a17628246b9d5,1,0.9961354674978214
0.9957817610220424,0.9923844800698604,0.0049317791637058924,0.014880901516533984,0.0,0.032708942890167236,0.9989913654551856,0.9681167602539062,0.0,00840f2bf9a595b0b553b796e3bfeb6726992c663ec0606ef141a5d5df0ba558,1,0.9925536643407717
0.9999963587932985,0.9999870111821775,1.842309272242672e-05,5.398655551329402e-05,0.0,0.004363017622381449,0.9999384339495195,0.3290848731994629,0.9984642267227173,009c6bb5cad9e0e9a83685a747007683f3db6f5fb006e78c8450dd8752819766,1,0.9973697856224201
0.9849600082380879,0.8811703297411771,0.2859629902168857,0.7456539446011742,0.2857142857142857,0.04845714569091797,0.9975092319339349,0.553091824054718,0.9616076350212097,009ff8e672b05b7b774e29c9b096c3dfee7611589ce1c0fe4ef0ed3bd35a4946,0,4.826753830512196e-06
0.9959238780167244,0.996024569922222,0.00038029221372649517,0.0006346100478379357,0.0,0.007291197776794434,0.9999924662837781,0.9783711433410645,0.0,00bd5cdc735f24ec2559c0a5db40f4a46f7a937947701ae2be8d3b071220185a,1,0.9935118792728409
0.9990189021009591,0.9989868226837169,0.0004822665377753315,0.000953150977276406,0.0,0.008988294735026563,0.9998111406370674,0.37888583540916443,0.9983639717102051,00ceb3675f139a9cd375929336151760c680031895fe496c4bd940539ecf2d02,1,0.9972312665363275
0.9980576593399796,0.9894092143368056,0.013747851577585879,0.038661072254756235,0.0,0.01863718032836914,0.999761919013047,0.8228165507316589,0.0,00dc224eeb98879a918e27a5baf6c7d5bc0cbb2e1da135319ee07d4f075eb460,1,0.9917042538353954
