content_hash,image_path,dataset,source,generator,label,condition_key,condition_name,logit,base_logit,raw_pred,pred,base_pred,prediction,base_prediction,correct,base_correct,gate_helped,gate_hurt,confidence,semantic_pred,forensic_pred,branch_disagreement,semantic_weight,forensic_weight,predicted_corruption,predicted_severity,attention_entropy,max_tile_attention,reliability
935f30b13fde5af4578910110433983dc6a5256504c7da895a9ed0e71b7c4c57,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/349 (4).jpg,cifake,cifake,unknown,1,clean,Clean,-12.957500457763672,-4.323744297027588,2.358457322770846e-06,0.048178669065237045,0.269819051027298,0,0,False,False,False,False,0.951821330934763,2.0465043348849576e-07,0.83039391040802,0.8303937057575865,0.966528058052063,0.033471912145614624,jpeg,0.21724098920822144,0.0,1.0,1.6440756372413434e-07
a9dbfa262d4fed83fafa68bc6b56c958c9e656ea4f3ce0c3139d4ae982a19d30,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/392 (3).jpg,cifake,cifake,unknown,1,clean,Clean,-11.946144104003906,-3.7099835872650146,6.484145615104353e-06,0.060052983462810516,0.29854780435562134,0,0,False,False,False,False,0.9399470165371895,3.729742203972819e-08,0.9136427044868469,0.9136426671894249,0.9835608005523682,0.016439231112599373,jpeg,0.24336470663547516,0.0,1.0,1.3006247181596063e-10
a2ce1f87f091fda92667c5d3af11bc1a7615316be29b12db39a93b3e989558dc,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/81 (4).jpg,cifake,cifake,unknown,1,clean,Clean,-10.172996520996094,-2.3546149730682373,3.818626282736659e-05,0.08767739683389664,0.3676877021789551,0,0,False,False,False,False,0.9123226031661034,5.767760285380064e-06,0.948725700378418,0.9487199326181326,0.9861348271369934,0.013865213841199875,jpeg,0.2500966489315033,0.0,1.0,6.716630024080045e-16
07f24fec2910d79d00134322b64d4989271e3ec13b1bf36b09f543e513d6ad85,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/344 (10).jpg,cifake,cifake,unknown,1,clean,Clean,-10.062322616577148,-2.9919614791870117,4.265503230271861e-05,0.08973728865385056,0.3342781960964203,0,0,False,False,False,False,0.9102627113461494,1.343901840300532e-05,0.5618969798088074,0.5618835407904044,0.8227697014808655,0.17723025381565094,jpeg,0.38502439856529236,0.0,1.0,1.0020268890169569e-12
758b4f8f9b5d72b402af327e54f87f8267cbe4985b0c4a0c0cb62ad6b688a940,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/194 (2).jpg,cifake,cifake,unknown,1,clean,Clean,-9.583341598510742,-1.5891573429107666,6.88616928528063e-05,0.09916277974843979,0.4095313847064972,0,0,False,False,False,False,0.9008372202515602,1.5184942640189547e-05,0.9898111820220947,0.9897959970794545,0.9957220554351807,0.004277901723980904,jpeg,0.38587450981140137,0.0,1.0,2.641863045032623e-11
fbedf6cd306e1335c977257d1d46e7d3937835fbfc1c8dfac51fc2e12bc6beed,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/274 (3).jpg,cifake,cifake,unknown,1,clean,Clean,-8.099897384643555,-1.2261148691177368,0.0003034781548194587,0.13412143290042877,0.4298868775367737,0,0,False,False,False,False,0.8658785670995712,5.584880909736967e-06,0.9814846515655518,0.981479066684642,0.9924681782722473,0.007531812414526939,jpeg,0.3793991208076477,0.0,1.0,1.5591091071605014e-05
e932014413e4550bf22e5861c68c8e0900cfcfe53b0af00da0b26959b08d8e63,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/719 (5).jpg,cifake,cifake,unknown,1,clean,Clean,-7.456110954284668,-1.0352575778961182,0.0005775655154138803,0.152288019657135,0.4406886100769043,0,0,False,False,False,False,0.847711980342865,5.188656723476015e-05,0.9221731424331665,0.9221212558659317,0.9768721461296082,0.023127829656004906,clean,0.14162664115428925,0.0,1.0,4.239274898411612e-16
cdb202e684e60921197ce5680045bec6e568d53831549f37028875d06b43d4e5,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/649 (9).jpg,cifake,cifake,unknown,1,clean,Clean,-6.623358726501465,-1.5041191577911377,0.0013271959032863379,0.17872254550457,0.41427433490753174,0,0,False,False,False,False,0.82127745449543,0.004274279810488224,0.33119654655456543,0.3269222667440772,0.6923824548721313,0.30761754512786865,jpeg,0.2641867697238922,0.0,1.0,5.0349373107958465e-15
fa6429d79695109e292611ecbd4ebaeb1bda30addd5e2c057055b7597523b72b,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/846 (3).jpg,cifake,cifake,unknown,1,clean,Clean,-5.325039863586426,-1.3751084804534912,0.004844572860747576,0.2268667072057724,0.42150014638900757,0,0,False,False,False,False,0.7731332927942276,0.004846004769206047,0.1485709846019745,0.14372497983276844,0.6013689041137695,0.3986310660839081,jpeg,0.2466862052679062,0.0,1.0,7.899755521804452e-13
45d46ba50d3338516b89f72b8b2668781e42043a8ae9ad053ea5000b672f228d,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/768 (4).jpg,cifake,cifake,unknown,1,clean,Clean,-4.644102096557617,0.23713110387325287,0.009526534005999565,0.25553563237190247,0.5136464834213257,0,1,False,True,False,True,0.7444643676280975,0.002401852048933506,0.9295862913131714,0.9271844392642379,0.9425181746482849,0.057481806725263596,clean,0.20847199857234955,0.0,1.0,5.3220484896464385e-09
351afb03eeb6d73e0fed20fc4e52d8a62876683e9e6f10a3dea46489f4cc9a62,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/301 (7).jpg,cifake,cifake,unknown,1,clean,Clean,-4.442660331726074,-0.7089734673500061,0.0116278026252985,0.2644587457180023,0.4592801034450531,0,0,False,False,False,False,0.7355412542819977,0.004023496527224779,0.3764706552028656,0.3724471586756408,0.7149861454963684,0.2850138545036316,jpeg,0.13602323830127716,0.0,1.0,9.141808356383238e-11
7718d52eb7cdd94289e3d697d16ce26711c829b51ecdda744a882f6c3ae1649a,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/210.jpg,cifake,cifake,unknown,1,clean,Clean,-2.181868076324463,1.4664031267166138,0.10139060020446777,0.37698280811309814,0.5836169123649597,0,1,False,True,False,True,0.6230171918869019,0.0071235462091863155,0.9945294260978699,0.9874058798886836,0.9603861570358276,0.03961386904120445,jpeg,0.5240168571472168,0.0,1.0,3.658992391510541e-16
d10ec0ff5fe014f34be9788550b02385d5297d4fe9a3f61deb1882e45542d3e2,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/129.jpg,cifake,cifake,unknown,1,clean,Clean,-1.1112797260284424,0.6318246722221375,0.24763236939907074,0.4363787770271301,0.53630530834198,0,1,False,True,False,True,0.5636212229728699,0.09886539727449417,0.9173879027366638,0.8185225054621696,0.7272620797157288,0.27273792028427124,clean,0.2856369912624359,0.0,1.0,5.675948108572169e-14
79bb23dd248ddc5dcdfee77b9799d45e08de3afddde763e7536b5c2879cfab17,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/964 (4).jpg,cifake,cifake,unknown,1,clean,Clean,-0.9364627003669739,0.5722547173500061,0.28161540627479553,0.4463028311729431,0.5328928232192993,0,1,False,True,False,True,0.5536971688270569,0.35763639211654663,0.6714705228805542,0.31383413076400757,0.7850425243377686,0.21495747566223145,clean,0.30103379487991333,0.0,1.0,1.3440182648321129e-16
c84e15ca709251165098a5e6d6a145d4f27784d913a5ff2897d062870943f5bc,/home/users/nus/e1516774/Techjam/data/raw/CIFAKE/test/FAKE/86.jpg,cifake,cifake,unknown,1,clean,Clean,-0.6873871088027954,1.3906739950180054,0.3346145749092102,0.46051472425460815,0.5793735384941101,0,1,False,True,False,True,0.5394852757453918,0.22450634837150574,0.967180609703064,0.7426742613315582,0.8626511693000793,0.13734889030456543,jpeg,0.4046604037284851,0.0,1.0,2.0503613546784558e-16
